Date,Month,Distance,Calories,Time,,
04/06/2017,April,3.20,418,28:16:00,,
04/07/2017,April,2.54,334,22:01,,
04/08/2017,April,3.79,501,36:12:00,,
04/10/2017,April,3.20,421,29:53:00,,
04/11/2017,April,1.79,235,15:29,,
04/13/2017,April,3.05,400,26:18:00,,
04/14/2017,April,3.14,410,28:12:00,,
04/16/2017,April,2.31,303,,,
04/17/2017,April,3.05,400,26:14:00,,
04/18/2017,April,2.31,304,20:00,s,
04/20/2017,April,2.73,355,23:30,,
04/21/2017,April,2.32,305,20:00,,
04/22/2017,April,3.05,400,26:27:00,,
04/23/2017,April,3.82,501,9:33,,
04/25/2017,April,3.16,415,27:24:00,,
04/26/2017,April,2.00,262,17:19,,
04/27/2017,April,2.30,302,19:56,,
04/29/2017,April,3.23,425,28:00:00,,
04/30/2017,April,3.31,434,28:37:00,,
05/01/2017,May,3.10,406,26:55:00,,
05/02/2017,May,2.39,315,20:51,,
05/04/2017,May,3.20,420,28:21:00,,
05/06/2017,May,3.12,410,27:02:00,,
05/07/0201,May,2.52,330,21:48,,
05/08/2017,May,2.34,308,20:17,,
05/09/2017,May,3.13,410,27:04:00,,
05/11/2017,May,3.15,410,27:00:00,,
05/12/2017,May,3.12,410,27:00:00,,
05/13/2017,May,3.14,412,27:02:00,,
05/14/2017,May,2.31,303,20:00,,
05/16/2017,May,3.10,407,26:59:00,,
05/17/2017,May,3.10,407,26:50:00,,
05/19/2017,May,2.30,302,20:00,,
05/21/2017,May,3.75,-,32:32:00,,
05/22/2017,May,3.12,409,27:00:00,,
05/23/2017,May,2.31,304,20:00,,
05/24/2017,May,3.12,409,27:00:00,,
05/25/2016,May,3.13,411,27:00:00,,
05/26/2017,May,3.15,413,27:00:00,,
05/28/2017,May,4.06,533,35:00:00,,
05/29/2017,May,3.10,,26:47:00,,
05/30/2017,May,1.00,132,8:45:00,,
05/31/2017,May,3.10,410,26:55:00,,
06/01/2017,June,2.00,262,17:22,,
06/02/2017,June,3.13,410,27:00:00,,
06/03/2017,June,2.31,304,20:00:00,,
06/05/2017,June,3.13,411,27:01:00,,
06/06/2017,June,3.15,413,27:01:00,,
06/07/2017,June,3.15,413,27:00:00,,
06/09/2017,June,2.30,301,20:00:00,,
06/10/2017,June,3.13,410,27:03:00,,
06/11/2017,June,3.13,411,27:01:00,,
06/12/2017,June,2.32,305,20:00:00,,
06/13/2017,June,3.13,410,27:01:00,,
06/14/2017,June,3.13,410,27:03:00,,
06/15/2017,June,3.12,410,27:11:00,,
